channel,h,var,coef,se,p,n
N,1,W_T,13.048814953971696,2.866771124847968,1.292784651899278e-05,2574
N,1,W_I,-1.4270212657061607,1.3827351890370634,0.3041519606707431,2574
N,1,infl_z,-3.3954259218970075,1.9343905287950762,0.0817822221900129,2574
N,1,gov_eff_z,-1.9110540700373564,4.174903768819929,0.6479681588923025,2574
N,1,growth_lag,-0.13545675215203595,0.3307563871358548,0.682882356200922,2574
N,2,M_z,-0.7227477500074009,2.2246607364948763,0.7458471782157788,2454
N,2,MxW_F,-1.7459969697778532,1.5783412696925458,0.2708803187039617,2454
N,2,MxW_T,2.3891819009378743,1.8354834948262218,0.19556691534972262,2454
N,2,MxW_I,1.2830262443161569,1.6096541751274518,0.4270043815306353,2454
N,2,W_F,0.06558115716127749,1.6393847551509266,0.9681579265758309,2454
N,2,W_T,17.013182773027264,3.6489036902265246,8.289359079602401e-06,2454
N,2,W_I,-2.1664650257900817,2.222207503875869,0.33159643895977103,2454
N,2,infl_z,-3.266076765129697,2.924610388758476,0.2663673793824961,2454
N,2,gov_eff_z,-1.287479786843552,5.5371972953636295,0.8165410706335414,2454
N,2,growth_lag,-0.20064981510188412,0.3774751765802581,0.5960316658829534,2454
N,3,M_z,-0.013041361591432876,2.907274288489428,0.9964284608315545,2335
N,3,MxW_F,-2.1531037238726958,1.959276190259616,0.2740365277814767,2335
N,3,MxW_T,2.933673108151074,2.4161578994029522,0.22709985183348141,2335
N,3,MxW_I,1.3388365532296178,2.0349887290405433,0.5118783219211476,2335
N,3,W_F,1.502400450010867,1.8133308775886001,0.4090426785281763,2335
N,3,W_T,21.294710797694147,4.459992937242677,5.2169754879618405e-06,2335
N,3,W_I,-1.7833831282059416,3.2355313171693285,0.5825475894340065,2335
N,3,infl_z,-2.6088144342509136,2.8642900570309355,0.36425408866405196,2335
N,3,gov_eff_z,-2.5717623376995267,6.416082608866545,0.6892696878150464,2335
N,3,growth_lag,-0.10103024835927321,0.4800786493112969,0.833683177510549,2335
N,4,M_z,1.9778745959913988,3.5293642960811584,0.576274513052911,2217
N,4,MxW_F,-2.679129867680559,2.4251302127522334,0.27154048340419945,2217
N,4,MxW_T,3.6477544146047007,3.10181852950715,0.2419801751830973,2217
