q0.1,q0.25,q0.5,q0.75,q0.9
-0.559750604991157,-0.6378558617999683,-0.7042273641969138,-0.7318890895485485,-0.8938919651711481
0.11775678966488298,-0.36244085271935766,-0.19778899763741667,-0.19414900826835896,-0.322236434382316
-1.9705785750557105,-1.6956821952288958,-1.7601332805641121,-1.8904252147197764,-1.7931555424175245
-0.46790641788491527,-1.0926256102416392,-0.9532679170064143,-1.0634303709271973,-2.0704598284007036
-0.7849966237122179,-0.8678651390225948,-0.6625448605167313,-0.6563749898511179,-0.8817897125816281
-0.3735452285837451,-0.8386331373930923,-0.9047592399095314,-1.20391726442555,-1.3382918208537287
-1.9233598791238455,-1.8605920359733998,-1.5214094234656397,-1.5432789358382366,-1.4672059775266029
-0.33798657586918907,-0.23704963687343705,-0.3644225049182585,-0.3750642594892403,-0.49474045431281927
-1.6025757642000984,-1.6105303102617587,-1.5740586541036161,-1.5178131482424475,-1.307068670830702
-0.5210163639708449,-0.2966818828810147,-0.19584105502667998,-0.44449621910878684,-0.8592253873579566
-0.9654323509360428,-0.9551326065821423,-0.5829123523089702,-0.6544353824360062,-1.0830280102356002
-0.5501999324134031,-0.5291015198063366,-0.39980714661564853,-0.24700865690338059,-0.5935313149781041
-1.4366163179246165,-0.5004068459716646,-0.6305356912655475,-0.5439540699594133,-0.6934824134110991
-1.7130049818806972,-1.5684266114392837,-1.6272087216960094,-1.5347485650249417,-1.7618494242058576
-1.579901210811533,-1.4268292104251297,-1.4349351724492387,-1.574678631710082,-1.7072683169426062
-0.5874737958451896,-0.5915976036067894,-0.48153660308423396,-0.5960102932767487,-0.6508644405161138
-0.234514442003206,-0.5834762288657982,-0.48917022719535697,-0.2749015061451678,-0.45066024964373397
0.7901092741419435,0.46485844516969177,0.09757565540607638,-0.06320905131009431,-0.17260003221696543
1.0246524664379473,0.8303373259919649,0.7003954452948038,0.7593398778973145,0.289108813649946
-0.6925554245167609,-0.4733719761586543,-0.4716593232677384,-0.2778122033086003,-0.2665945458556355
-0.45049754184229784,-0.3422447149867305,-0.23025517072877774,-0.12297048865614411,-0.4957785984275909
-1.1469262569353251,-1.210482993045734,-1.0964879527369562,-1.1489458522786289,-1.4007169026957005
-0.12868377502871478,-0.49331655689444365,-0.6780785079821243,-0.7404298159160598,-0.973432453735428
-0.7185913604046328,-1.0709414238919583,-0.6824695391814709,-0.8115675783291662,-1.1867259763600124
-1.43687626614743,-1.217026845914947,-0.9007553350905675,-1.2250721443136898,-1.3136321396434152
1.460115945831266,1.3693898069071606,1.217000406089435,1.0679727600138869,0.9824923215921894
-0.37512204413832745,-0.4948472145984004,-0.48725140433801756,-0.5284666719932535,-0.7062473864199177
-0.17104470959886334,-0.37799468277964704,-0.20477633872476556,-0.09148791658169654,-0.34313656653011176
-0.3954292660160177,-0.17790569403869602,-0.06468501710524534,0.008861277074801124,-0.3858833748417793
-0.06372243449414558,-0.39054313100285354,-0.08371246452057839,-0.35368874803271166,-0.38083351018318545
-1.0369392080478408,-0.4704156158370371,-0.7598801252622563,-0.7905453000471723,-1.20862502151631
-0.23729473956439898,-0.021391268725560023,0.06997848094438953,0.018544941892863223,0.1351383530792195
-0.9457048368316856,-0.8703129502938151,-0.8860016003387082,-1.087802477520699,-1.3242830207391367
0.7126489638286948,0.48271353337526307,0.3188653417347267,0.08432563869416423,-0.0245522436347846
0.5169612291126224,0.2281392503874675,0.03010769404829554,-0.07568913060810745,-0.4072709671681364
-0.7044226241019366,-0.39270737531144617,-0.7160247425063836,-0.8357587895287333,-1.0742190875193856
-0.7385276935041888,-0.8025844428028404,-0.761875246878992,-0.9332256646241281,-0.9321109867717005
-0.8546677716854054,-1.1628294419871597,-0.713078927319869,-0.8344322631824402,-0.958279307512193
-1.3121493054978235,-1.0214751191084448,-0.7602746522879801,-0.8529224479968843,-0.9034341388961749
-0.8719721627044905,-1.1909468095751854,-1.1340402570732901,-0.924083144051813,-1.214640110419356
-0.5022045493232266,-0.5314930660248968,-0.5949886840387281,-0.7253544416997508,-0.9543294831106085
-0.7636262652267553,-0.8795527695585391,-0.6938807432128444,-1.0940813616294123,-1.4691896799841875
-1.0632884165515692,-1.3481854341690418,-1.2046898629066316,-1.2363756427909136,-1.2837703277307637
-1.239094631299954,-1.1810700733065584,-1.0453508609248718,-1.3052197643587078,-1.431769857181557
-0.19903780427615841,0.062291241888356344,0.13894963439367955,0.2620152560324479,0.09862463961249515
-0.14315893688590878,-0.46145747020184735,-0.4828370166171339,-0.5000521943805306,-0.4486619722840181
-2.7078873183104726,-2.5875813695051955,-2.210456763397199,-2.1447797554304247,-2.27192701577024
0.17464213032925419,0.31070795934425244,0.10904002521037785,-0.025662095335255087,-0.4897221494616875
-0.5857291812923574,-0.7249654472381346,-0.6042290468888073,-0.7417182526029259,-0.8598195596813041
-1.0392825850599647,-1.2966453273240717,-1.1132096770267306,-1.1445370211538766,-1.0864203355654052
-1.1030548100776605,-0.9544275219815685,-1.0337590193589115,-0.9931137856793522,-1.2854133670158996
-0.5397664382784317,-0.582475786910009,-0.30573977534160446,-0.2034344765521671,-0.5881026059479695
-1.2340286625102692,-0.978151081801152,-0.8000688064342925,-0.9813069155007355,-0.8894800333821377
-1.3772561617354981,-0.8169964272976602,-0.779510784610513,-0.8765449036655594,-1.064500212889351
-0.478873816016604,-0.9016733470185158,-0.8680862369042567,-0.9011589106590691,-1.1542647144982263
-0.06778727240365966,-0.5097573196874805,-0.504705346837285,-0.8712751653835246,-0.9227091014454082
1.1328403786482415,0.4415929331479158,0.3457566748580277,0.1318389583790087,-0.20138132357828653
0.027645043154088358,-0.008507136521248468,0.05083911298093385,0.06301585370978012,0.06361217706415193
-0.4066813488019456,-0.37931030171134644,-0.6385544019084644,-0.6229868146906352,-0.8205809909744667
-0.23024413559082973,-0.08543232481847053,-0.04125679775485464,0.02350768196225137,-0.05041792690053762
-0.6396008007210332,-0.8721637232057632,-0.5252167376604594,-0.8492912379766554,-1.105169826703118
-0.4816266683457982,-0.7585447285483228,-0.5644248815883564,-0.9085821574246188,-1.103221424958656
-1.1481899571091987,-1.4229284552101504,-1.3697576937052938,-1.7622913396388413,-1.8062824965224515
-1.0934887920967264,-1.2356201667539797,-1.3347006690008867,-1.4012055516948474,-1.1875614824360423
-0.051906007867149453,-0.7422902347306873,-0.41827134671583116,-0.5033389177739709,-0.2524037323534817
-0.5781085193705701,-0.8537571804301677,-1.0428847993331167,-1.3141576375227588,-1.3671995881877685
0.5773346891319482,0.2694924026967348,0.4143378970082569,0.2404885535803901,0.14951979894194223
-0.6205697170712847,-0.656058574278959,-0.512778231806786,-0.7150143600336659,-0.7523413081395636
-1.0980913026696253,-1.0440393952920426,-1.2570186165886885,-1.1697998182386073,-1.1619833415434826
-0.8213895880541978,-0.5472204204210166,-0.17333819850703835,-0.06407747290500927,-0.06783303051838445
-0.112028012548022,-0.3912729919099473,-0.2851974567382446,-0.16819913240950596,-0.2692106067256791
-0.5154609391331121,-0.9362489206378874,-1.1324212627241899,-1.4397369032088558,-1.8406927306755216
-0.4336309796782694,-0.3525258138634703,-0.34390287120371366,-0.47019709694480827,-1.08290652892528
-1.3131019563334425,-0.8859826585325139,-0.821215951849165,-0.9860214294217156,-1.4115304329113711
-0.609156266099164,-0.3655761307303795,-0.5471574587174066,-0.4647793092165381,-1.069805895795208
-0.8830557327549026,-1.040498345477704,-0.7553250073471535,-0.9789482664089664,-1.0585106568032105
-0.748495074250634,-0.6191537047526808,-0.49173178224739716,-0.6461520697867781,-0.5614930630321302
0.669246214486556,0.5395046032996934,0.3648269644603502,0.06064276220644567,-0.2839272256809444
0.3896729267510434,0.3239646881151242,0.5804175105626951,0.7493701499627735,0.4306858169988334
-0.2413892470708663,-0.13221414918048374,0.004603277034836717,0.13487504527635266,-0.07209690598470017
-0.16057901472825337,-0.6497578221946463,-0.7512936933621308,-0.926952204513017,-1.0479745722090723
0.007258889251330897,0.2893473432329532,0.40435532341398006,0.3715829793344001,0.37605316106853437
-0.8962893064891443,-0.8195151942763923,-0.8330757757792676,-1.051431293662973,-1.1873803205245497
0.46887009152047077,0.5453825271400727,0.4529561750558067,0.44161085096526703,0.33699237322631537
-0.03250713327634016,-0.43544823941206157,-0.46475884651326416,-0.7548321462724661,-0.9258298502518764
0.09908142848112263,-0.12841767091270112,-0.12651961544941823,-0.12159712832113384,-0.2093351165996347
-1.092316819712811,-0.7530933984332598,-0.6589312595746364,-0.5066484383526096,-1.0505295830172274
-0.22424234345238234,-0.20453500522114051,-0.19095766885276363,-0.29021525164838974,-0.2605640431705445
0.06683896664929202,-0.11893526781545152,0.12738366785208546,-0.19565575868138937,-0.609728999916421
-0.9740171565381581,-0.8083153238982236,-0.8726976955208351,-0.7950665013380239,-1.2363267016891881
-1.161075859517481,-1.0254850675213854,-0.6803136466780806,-1.0613890174916785,-1.4278282281978172
-1.2330723019010303,-1.228397622126333,-1.082942220204315,-1.0404188202207856,-1.0960146438781406
-1.4018610598863175,-1.0543453174221957,-0.7565728616457106,-0.9675390591337348,-1.1239061117085996
-0.46349865282845465,-0.11022825423537291,-0.20668418753408074,-0.15724175708832544,-0.38511245771498726
