channel,h,var,coef,se,p,n,countries,cov_M_F,specification
F,2,W_F,-5.666014036565633,0.4320420054528438,1.1828570705330847e-24,1007,117,0.23552734577232243,no_fill
F,2,W_T,-3.076222603039116,1.543265733016075,0.048573399779010935,1007,117,0.23552734577232243,no_fill
F,2,W_I,-0.1809517819898061,1.110935203644484,0.8708944522501414,1007,117,0.23552734577232243,no_fill
F,2,infl_z,0.818238112814432,0.525510671205287,0.12218651461033707,1007,117,0.23552734577232243,no_fill
F,2,gov_eff_z,0.9297404841756403,1.9888180062218341,0.64103069036455,1007,117,0.23552734577232243,no_fill
F,2,growth_lag,-0.36863061992872376,0.10075078881012581,0.0003825950285368356,1007,117,0.23552734577232243,no_fill
F,2,lgdp_pc,-10.750563077744129,4.194151797264409,0.011649487412649425,1007,117,0.23552734577232243,no_fill
G,1,M_z,-1.0364265679661964,0.4751907653526315,0.03112815204310995,942,121,0.027332027319905274,post2015
G,1,MxW_F,0.44695133693924555,0.545454580401413,0.4141765789781754,942,121,0.027332027319905274,post2015
G,1,MxW_T,1.8115003023178127,0.7674850125566254,0.01987271045566616,942,121,0.027332027319905274,post2015
G,1,MxW_I,0.7307944206976271,0.5584765533621184,0.19318754246507164,942,121,0.027332027319905274,post2015
G,1,W_F,1.0835000991246713,0.7803991767805012,0.1675895980695685,942,121,0.027332027319905274,post2015
G,1,W_T,1.1477613642358961,1.6344212706326242,0.48388737178601854,942,121,0.027332027319905274,post2015
G,1,W_I,0.4379593484182443,0.8860265596799531,0.6220008371911945,942,121,0.027332027319905274,post2015
G,1,infl_z,-2.512912457263087,0.5102673149797161,2.728620204058293e-06,942,121,0.027332027319905274,post2015
G,1,gov_eff_z,-3.176453512972178,1.6904269450132805,0.06265894588913187,942,121,0.027332027319905274,post2015
G,1,growth_lag,-0.32636299223332566,0.05871176788356793,1.6693127993458072e-07,942,121,0.027332027319905274,post2015
G,1,lgdp_pc,7.192821875808775,4.4067764281231705,0.1052549442529082,942,121,0.027332027319905274,post2015
G,2,M_z,-1.5070093423604445,0.8059907080491612,0.06395422772543699,839,121,0.012769183208215464,post2015
G,2,MxW_F,-0.10130759676440809,0.6053139189033051,0.8673655743979828,839,121,0.012769183208215464,post2015
G,2,MxW_T,2.185887686292936,1.0634269298287,0.0419992109754008,839,121,0.012769183208215464,post2015
G,2,MxW_I,1.1434776585065136,0.7210073778125601,0.11538361143952401,839,121,0.012769183208215464,post2015
G,2,W_F,0.512553867630126,0.9266237531963363,0.5811957027518172,839,121,0.012769183208215464,post2015
G,2,W_T,0.9637515295321135,2.04866044453517,0.6389016772711364,839,121,0.012769183208215464,post2015
G,2,W_I,0.33519680574410027,1.2351274794021438,0.7865601665750254,839,121,0.012769183208215464,post2015
G,2,infl_z,-1.8809428388355403,0.5993626473303924,0.0021391439157924064,839,121,0.012769183208215464,post2015
G,2,gov_eff_z,-2.967356349599126,2.5345079046695558,0.24400610251111185,839,121,0.012769183208215464,post2015
G,2,growth_lag,-0.41164788555867055,0.05345576681671651,4.2724096355606635e-12,839,121,0.012769183208215464,post2015
G,2,lgdp_pc,-10.80536810209419,6.138399656341848,0.08090636935112577,839,121,0.012769183208215464,post2015
N,1,M_z,-1.107307545322628,2.299127987966029,0.6310068618457518,879,114,1.9665208176990232,post2015
N,1,MxW_F,-1.6002618606542112,2.4391099124760465,0.5131035642495022,879,114,1.9665208176990232,post2015
N,1,MxW_T,6.263020723394908,3.2041811288076594,0.0530956574007589,879,114,1.9665208176990232,post2015
N,1,MxW_I,2.1563573364431345,1.647183070986002,0.1931501704187536,879,114,1.9665208176990232,post2015
N,1,W_F,2.306387150298308,2.9150715812231804,0.43048833670685027,879,114,1.9665208176990232,post2015
N,1,W_T,-2.2558494068648365,6.992566279647077,0.7475891852795786,879,114,1.9665208176990232,post2015
N,1,W_I,-2.0918783179983165,1.8498138331268734,0.2605089374447083,879,114,1.9665208176990232,post2015
N,1,infl_z,-5.476328182113432,2.08310627704778,0.009757381317889544,879,114,1.9665208176990232,post2015
N,1,gov_eff_z,-12.587765991716033,6.172550379248738,0.043751625270855944,879,114,1.9665208176990232,post2015
N,1,growth_lag,-0.1901537567806184,0.2807014768237635,0.49952193516370896,879,114,1.9665208176990232,post2015
N,1,lgdp_pc,-7.754717412579993,20.56566279370533,0.7068279554112343,879,114,1.9665208176990232,post2015
N,1,outcome_lag,-0.27972025693927705,0.0581799907713997,4.740002201385419e-06,879,114,1.9665208176990232,post2015
N,2,M_z,-2.5528645948380833,2.635332457859816,0.33476030106630905,782,114,2.5205240810539067,post2015
N,2,MxW_F,-4.5192947994163735,3.027395155264955,0.13827643325140368,782,114,2.5205240810539067,post2015
N,2,MxW_T,6.969655334996933,2.942997451445586,0.019572342049193118,782,114,2.5205240810539067,post2015
N,2,MxW_I,2.948226082699719,2.1233913687481754,0.16773053995327963,782,114,2.5205240810539067,post2015
N,2,W_F,1.0638568355064009,3.4175421088541764,0.7561514640192637,782,114,2.5205240810539067,post2015
N,2,W_T,2.3293880235212763,5.075732659063983,0.6471685078227413,782,114,2.5205240810539067,post2015
N,2,W_I,-3.7944297324935903,2.669172790042122,0.15790368815873493,782,114,2.5205240810539067,post2015
N,2,infl_z,-2.76735109146125,2.4505922732331467,0.2611805504493704,782,114,2.5205240810539067,post2015
N,2,gov_eff_z,-14.083390459640661,6.982895720107967,0.046083039765002526,782,114,2.5205240810539067,post2015
N,2,growth_lag,-0.2983873427263149,0.28064395232223793,0.28994730875032254,782,114,2.5205240810539067,post2015
N,2,lgdp_pc,-55.034290610304446,28.314945057068304,0.054424471145802955,782,114,2.5205240810539067,post2015
N,2,outcome_lag,-0.40121836345316403,0.07095571774437764,1.1923195316648288e-07,782,114,2.5205240810539067,post2015
I,1,M_z,0.5337736348728472,0.4081270856426667,0.1951392067791543,430,72,0.038396298380913,post2015
I,1,MxW_F,0.37731102222876794,0.21328017877242356,0.08117405000797856,430,72,0.038396298380913,post2015
I,1,MxW_T,0.9232255475006305,0.45904025339863164,0.04810095179043084,430,72,0.038396298380913,post2015
I,1,MxW_I,0.4921778471437944,0.3076923399448809,0.11413312173095956,430,72,0.038396298380913,post2015
I,1,W_F,0.15272302668700038,0.15756535240229497,0.3357019280593934,430,72,0.038396298380913,post2015
I,1,W_T,0.9769681216446813,1.1085909580007625,0.3811452389033417,430,72,0.038396298380913,post2015
I,1,W_I,-7.1311132872163725,0.4445591646949941,2.616288206560867e-25,430,72,0.038396298380913,post2015
I,1,infl_z,0.03867792548787416,0.14481986105519534,0.7901847905014786,430,72,0.038396298380913,post2015
I,1,gov_eff_z,0.6767796330168443,0.7064031093817764,0.3412814255772609,430,72,0.038396298380913,post2015
I,1,growth_lag,0.0342270015987146,0.02267377750015314,0.13559815973331488,430,72,0.038396298380913,post2015
I,1,lgdp_pc,-5.137216542624889,2.2290251690895015,0.024111726167841276,430,72,0.038396298380913,post2015
I,2,M_z,0.4416566788817145,0.4504880830034398,0.33021967752996634,360,72,0.07433029333740894,post2015
I,2,MxW_F,0.29192856303678244,0.2671111201637019,0.27812749691548716,360,72,0.07433029333740894,post2015
I,2,MxW_T,0.36986776351920736,0.47322491414365525,0.4370542959423299,360,72,0.07433029333740894,post2015
I,2,MxW_I,0.2250841600565361,0.31858227561759683,0.48217816793232043,360,72,0.07433029333740894,post2015
I,2,W_F,0.14101805568785267,0.25676234365753053,0.5845803103727207,360,72,0.07433029333740894,post2015
I,2,W_T,0.04891828556103972,1.018344833167412,0.9618215828650474,360,72,0.07433029333740894,post2015
I,2,W_I,-5.525560891124742,0.943973287481542,1.366844747938983e-07,360,72,0.07433029333740894,post2015
I,2,infl_z,-0.4726590397554477,0.41538926831210665,0.2589999753241131,360,72,0.07433029333740894,post2015
I,2,gov_eff_z,0.6252864936939201,0.777820279075374,0.42414052600718927,360,72,0.07433029333740894,post2015
I,2,growth_lag,-0.028845875841280635,0.026704859851533775,0.2837206557294078,360,72,0.07433029333740894,post2015
I,2,lgdp_pc,-1.4663907839688068,2.156302258411652,0.4986850166039527,360,72,0.07433029333740894,post2015
T,1,M_z,-3.0346586499809303,2.3520395008104313,0.19951691559143317,900,118,0.05020898707467758,post2015
T,1,MxW_F,2.541015266116763,1.7003491799338732,0.13776120701594977,900,118,0.05020898707467758,post2015
T,1,MxW_T,-1.659141447459577,2.839959299761856,0.5602016850100433,900,118,0.05020898707467758,post2015
T,1,MxW_I,-1.001780630092703,1.8382857908391985,0.5868226436130287,900,118,0.05020898707467758,post2015
T,1,W_F,2.4472472636357594,2.258075006493274,0.2806924984314399,900,118,0.05020898707467758,post2015
T,1,W_T,-33.03052042068171,6.387824578585156,9.736131187262272e-07,900,118,0.05020898707467758,post2015
T,1,W_I,2.084713228328967,3.186098980214313,0.5141928330590639,900,118,0.05020898707467758,post2015
T,1,infl_z,-0.5382063428891383,1.0669614664455342,0.6149085851641353,900,118,0.05020898707467758,post2015
T,1,gov_eff_z,-8.283649318203514,7.426608437128192,0.26696420456411857,900,118,0.05020898707467758,post2015
