phi,M,branch,stable
0.93,0.004987470512414778,low,True
0.93,0.6062538610286378,middle,False
0.93,0.994749904484255,high,True
0.9400000000000001,0.004693949079809003,low,True
0.9400000000000001,0.6061671450444506,middle,False
0.9400000000000001,0.9950270401890383,high,True
0.9500000000000001,0.0044177237659496745,low,True
0.9500000000000001,0.6060828033982325,middle,False
0.9500000000000001,0.9952893669629358,high,True
0.96,0.004157773982095439,low,True
0.96,0.6060007397904839,middle,False
0.96,0.9955376918074456,high,True
0.97,0.003913139403168229,low,True
0.97,0.6059208630653614,middle,False
0.97,0.9957727763966684,high,True
0.98,0.0036829164165719246,low,True
0.98,0.6058430868714182,middle,False
0.98,0.9959953397384664,high,True
0.99,0.003466254778257737,low,True
0.99,0.6057673293488716,middle,False
0.99,0.9962060606695707,high,True
1.0,0.003262354464281139,low,True
1.0,0.6056935128410118,middle,False
1.0,0.9964055801958458,high,True
1.01,0.003070462706711729,low,True
1.01,0.6056215636276017,middle,False
1.01,0.9965945036880955,high,True
1.02,0.002889871203353072,low,True
1.02,0.6055514116783334,middle,False
1.02,0.9967734029430203,high,True
1.03,0.00271991349129405,low,True
1.03,0.6054829904246052,middle,False
1.03,0.996942818118235,high,True
1.04,0.0025599624748552374,low,True
1.04,0.6054162365480423,middle,False
1.04,0.997103259549619,high,True
1.05,0.0024094280990096003,low,True
1.05,0.605351089784352,middle,False
1.05,0.9972552094586681,high,True
1.06,0.0022677551598474714,low,True
1.06,0.6052874927412234,middle,False
1.06,0.9973991235569785,high,True
1.07,0.0021344212441239893,low,True
1.07,0.6052253907291144,middle,False
1.07,0.9975354325544873,high,True
1.08,0.002008934790371826,low,True
1.08,0.6051647316038752,middle,False
1.08,0.9976645435776357,high,True
1.09,0.0018908332644834293,low,True
1.09,0.6051054656202476,middle,False
1.09,0.9977868415031866,high,True
1.1,0.0017796814430684638,low,True
1.1,0.6050475452953776,middle,False
1.1,0.9979026902130369,high,True
1.11,0.0016750697982722124,low,True
1.11,0.6049909252815485,middle,False
