channel,h,var,coef,se,p,n,countries,cov_M_F
G,3,MxW_F,-1.345765205951265,0.3621478950198168,0.0003118229033602475,1434,118,0.02221902142872985
G,3,MxW_T,-0.2074398930999239,1.2337021389334502,0.8667601292521322,1434,118,0.02221902142872985
G,3,MxW_I,-1.6908138837410058,0.6793508754947889,0.014221667702604926,1434,118,0.02221902142872985
G,3,W_F,1.779258674435442,0.5521246104119214,0.0016460617255687753,1434,118,0.02221902142872985
G,3,W_T,8.667812223103986,2.122546128811042,8.144896648259533e-05,1434,118,0.02221902142872985
G,3,W_I,0.4041535705751996,0.929005613683156,0.664335607852121,1434,118,0.02221902142872985
G,3,infl_z,-0.14505292853733284,0.5080778962016884,0.775770899168187,1434,118,0.02221902142872985
G,3,gov_eff_z,-2.9189500316636376,1.52081305533365,0.05737735948891407,1434,118,0.02221902142872985
G,3,growth_lag,-0.22201839058825032,0.10807815057363383,0.042180304162827975,1434,118,0.02221902142872985
G,3,lgdp_pc,-8.152790209818953,4.213715297681252,0.05542600640025214,1434,118,0.02221902142872985
G,4,M_z,-0.7764039244357348,1.024979877599845,0.45029705987177476,1332,117,0.023037449093595
G,4,MxW_F,-1.7473484473827636,0.48074896400162,0.00041627941373938404,1332,117,0.023037449093595
G,4,MxW_T,-0.20937514839287014,1.4366881431889265,0.8843838603701746,1332,117,0.023037449093595
G,4,MxW_I,-2.2115893809696585,0.7936904438334661,0.00622696919630047,1332,117,0.023037449093595
G,4,W_F,2.1786867282938527,0.7012074166510988,0.002376368589516015,1332,117,0.023037449093595
G,4,W_T,10.574623681835073,2.407799487742949,2.496849208720294e-05,1332,117,0.023037449093595
G,4,W_I,0.7762486993111277,1.017423643390269,0.4470388786218314,1332,117,0.023037449093595
G,4,infl_z,0.5173442481192084,0.7022160051078385,0.4627734032164067,1332,117,0.023037449093595
G,4,gov_eff_z,-2.5977981045341805,1.5085838710573818,0.08773290443292585,1332,117,0.023037449093595
G,4,growth_lag,-0.25020912540777657,0.13298472535706976,0.06241222822500843,1332,117,0.023037449093595
G,4,lgdp_pc,-12.61228277791065,4.8816887134787414,0.011019488852993198,1332,117,0.023037449093595
N,-2,M_z,-2.0829955890891583,1.9567361819615223,0.2893402770176433,1630,115,0.12055859991560217
N,-2,MxW_F,0.019765252544054118,1.040579260861292,0.9848787208092739,1630,115,0.12055859991560217
N,-2,MxW_T,-0.6309994470045819,1.9970703661499312,0.7526086822491261,1630,115,0.12055859991560217
N,-2,MxW_I,-3.4858782200977023,1.6198286061130842,0.03350616237670268,1630,115,0.12055859991560217
N,-2,W_F,-1.355142868529157,1.934025446066668,0.48492720620279656,1630,115,0.12055859991560217
N,-2,W_T,15.548772985196168,3.6504419264108945,4.234709788600492e-05,1630,115,0.12055859991560217
N,-2,W_I,0.23274982177608927,2.2795296010341684,0.918853251676105,1630,115,0.12055859991560217
N,-2,infl_z,0.9475523732261879,1.1909557470900562,0.42790444485686907,1630,115,0.12055859991560217
N,-2,gov_eff_z,-6.59979412131985,4.269699918741768,0.12494188382120244,1630,115,0.12055859991560217
N,-2,lgdp_pc,18.592863712399925,7.688992628733336,0.0171847572484091,1630,115,0.12055859991560217
N,-1,M_z,-2.1329778094287013,1.2487427427423505,0.09033939226390472,1638,115,0.09095346598822364
N,-1,MxW_F,-0.24111493088099398,0.7719564856743295,0.7553507322985001,1638,115,0.09095346598822364
N,-1,MxW_T,-0.8011255148529842,1.0066318142898218,0.42777468987519746,1638,115,0.09095346598822364
N,-1,MxW_I,-2.459198593657509,1.0912665502898382,0.02613815922160244,1638,115,0.09095346598822364
N,-1,W_F,0.25010270821662506,0.9796712663981304,0.7989572264283967,1638,115,0.09095346598822364
N,-1,W_T,8.16831440556333,1.8820999382664971,3.0977739897548976e-05,1638,115,0.09095346598822364
N,-1,W_I,0.38452767109896646,1.3961376342775285,0.7834902799501994,1638,115,0.09095346598822364
N,-1,infl_z,-0.6958518663840783,0.7329010591695594,0.3444009761572059,1638,115,0.09095346598822364
N,-1,gov_eff_z,-4.421734140669027,2.8797130809147484,0.1274374241603567,1638,115,0.09095346598822364
N,-1,lgdp_pc,13.351101100608647,4.586762950526842,0.004336932117485298,1638,115,0.09095346598822364
N,0,M_z,-1.443887964098437,1.073678995672641,0.1813579501382389,1628,115,-0.5981846576392784
N,0,MxW_F,1.058024775117802,1.3005137942482832,0.41760236604537804,1628,115,-0.5981846576392784
N,0,MxW_T,0.6854408136265339,1.1744519561479834,0.5606248392437072,1628,115,-0.5981846576392784
N,0,MxW_I,-0.28315582115574844,1.0507582432891567,0.7880493227273926,1628,115,-0.5981846576392784
N,0,W_F,3.3590168339955633,1.209655841753841,0.00641893443383809,1628,115,-0.5981846576392784
N,0,W_T,4.924646050044913,2.8228519341462577,0.0837558460093156,1628,115,-0.5981846576392784
N,0,W_I,0.31012933243880914,1.3517344713275783,0.818945334502611,1628,115,-0.5981846576392784
N,0,infl_z,-1.5487671918523942,0.9077363204506949,0.09069631493678221,1628,115,-0.5981846576392784
N,0,gov_eff_z,-7.966839243800947,3.6233805913814323,0.029916723107900996,1628,115,-0.5981846576392784
N,0,growth_lag,-0.312535868306673,0.5585320008298277,0.576872838424379,1628,115,-0.5981846576392784
N,0,lgdp_pc,16.13509822332524,6.299996932477042,0.011739265155271949,1628,115,-0.5981846576392784
N,0,outcome_lag,-0.04029523247774074,0.04212182719089701,0.34077560370824966,1628,115,-0.5981846576392784
N,1,M_z,-1.2817667694023427,1.5820489815200314,0.41951665690826073,1537,115,0.003279436580290493
N,1,MxW_F,-0.3041521027256733,1.4194245458357404,0.8307127251086901,1537,115,0.003279436580290493
N,1,MxW_T,1.6480930617545693,1.9722090200263018,0.4050951389094801,1537,115,0.003279436580290493
N,1,MxW_I,-1.6222329425592665,1.913511579561187,0.3983380837010641,1537,115,0.003279436580290493
N,1,W_F,5.065449831769305,1.1672853919224766,3.103674764731652e-05,1537,115,0.003279436580290493
N,1,W_T,10.149779981579393,4.159330180245309,0.01621706891222823,1537,115,0.003279436580290493
N,1,W_I,1.1092824814905098,2.6977914943253007,0.6817112503350169,1537,115,0.003279436580290493
N,1,infl_z,-1.569059349580772,1.3210418872439993,0.23740313673698243,1537,115,0.003279436580290493
N,1,gov_eff_z,-7.163910092776225,5.062689210629682,0.15978246166000706,1537,115,0.003279436580290493
N,1,growth_lag,-0.16863801953174018,0.46209115438967885,0.7158283567584053,1537,115,0.003279436580290493
N,1,lgdp_pc,-4.4030359644378,10.612213608324062,0.6789929140594335,1537,115,0.003279436580290493
N,1,outcome_lag,-0.20328950715925992,0.05581929750174142,0.0004085528320356661,1537,115,0.003279436580290493
N,2,M_z,-0.3700346764043827,2.163167885836707,0.8644786872801719,1439,115,0.9379739870941377
N,2,MxW_F,-0.9100169937108329,1.974567819748865,0.6457706472035298,1439,115,0.9379739870941377
N,2,MxW_T,1.8218864440090154,2.724430196201923,0.5050247019757496,1439,115,0.9379739870941377
N,2,MxW_I,-2.332824109595514,2.668935059172038,0.38392018223315966,1439,115,0.9379739870941377
N,2,W_F,6.962084111586889,1.880335457213361,0.00033046550279650143,1439,115,0.9379739870941377
N,2,W_T,15.100758081241905,4.971799762722513,0.0029595386503437683,1439,115,0.9379739870941377
N,2,W_I,1.659203691660835,3.9363984070008504,0.6741815392277437,1439,115,0.9379739870941377
N,2,infl_z,1.1203127143039284,1.9312112072456513,0.5629860570235652,1439,115,0.9379739870941377
N,2,gov_eff_z,-4.074347358589124,6.272190110528489,0.5172643003138142,1439,115,0.9379739870941377
N,2,growth_lag,-0.04420790620174753,0.378385775026229,0.9071980531344079,1439,115,0.9379739870941377
N,2,lgdp_pc,-26.736911296937702,14.387895995070688,0.06570729019602839,1439,115,0.9379739870941377
N,2,outcome_lag,-0.3328562481176067,0.0666472700797687,2.1461424608637233e-06,1439,115,0.9379739870941377
N,3,M_z,2.259921845324722,2.5861107566868267,0.3840934566188252,1338,111,1.5561958838607832
N,3,MxW_F,-1.4388376744510405,2.4029985951869084,0.5505589498318948,1338,111,1.5561958838607832
N,3,MxW_T,2.419219098516548,3.1119519197625913,0.43859385536928425,1338,111,1.5561958838607832
N,3,MxW_I,-2.7062701012903814,2.997342447735799,0.36855727440738517,1338,111,1.5561958838607832
N,3,W_F,8.576527218959061,2.5720784995974406,0.0011654454832595636,1338,111,1.5561958838607832
N,3,W_T,18.14182098559154,5.369192289927103,0.0010076213281162347,1338,111,1.5561958838607832
N,3,W_I,1.6681245681799837,4.9940080864369865,0.7389965041101669,1338,111,1.5561958838607832
N,3,infl_z,2.6133564583775732,1.8031920313142662,0.1501002902908347,1338,111,1.5561958838607832
N,3,gov_eff_z,1.148616681798285,6.32212034807303,0.8561665104205243,1338,111,1.5561958838607832
N,3,growth_lag,-0.07835826054226236,0.3748500514987324,0.8348044547521238,1338,111,1.5561958838607832
N,3,lgdp_pc,-45.024591363249364,19.118170680364038,0.02029187041580167,1338,111,1.5561958838607832
N,3,outcome_lag,-0.282823919003882,0.063060140566501,1.799337252969561e-05,1338,111,1.5561958838607832
N,4,M_z,4.396647637673714,2.962580019843984,0.1406789330816771,1241,110,0.3548254864012951
N,4,MxW_F,-2.05279562546214,2.5700205552049713,0.42617424251564934,1241,110,0.3548254864012951
N,4,MxW_T,1.5863817009157979,3.5131969109584245,0.6524908551964161,1241,110,0.3548254864012951
N,4,MxW_I,-5.145214177806933,2.8879051855964946,0.07759244716368698,1241,110,0.3548254864012951
N,4,W_F,9.998564458708007,2.805107795567138,0.000542663500024233,1241,110,0.3548254864012951
N,4,W_T,21.55572684656767,5.968982953856301,0.0004621457526222316,1241,110,0.3548254864012951
N,4,W_I,-2.579947526537977,5.821876172913182,0.6585376252717496,1241,110,0.3548254864012951
N,4,infl_z,1.2430949729794032,1.856649670860725,0.5045690201798928,1241,110,0.3548254864012951
N,4,gov_eff_z,4.572259845946247,7.242250469214974,0.5291456100553613,1241,110,0.3548254864012951
N,4,growth_lag,0.5558685276441374,0.41688789409054905,0.18518817265412488,1241,110,0.3548254864012951
